Region,Provincia,Distrito,Ubigeo,Votosemitidos,Electores,N_Partidos,P_ausentismo,Año,Utilidad
AMAZONAS,CHACHAPOYAS,ASUNCION,10102,267.0,170.0,2.0,0.3926470588235294,2022,288968.8500000001
AMAZONAS,CHACHAPOYAS,BALSAS,10103,538.0,264.0,4.0,0.1270440251572327,2022,73168.08000000031
AMAZONAS,CHACHAPOYAS,BALSAS,10103,538.0,265.0,4.0,0.1270440251572327,2022,73168.08000000031
AMAZONAS,CHACHAPOYAS,CHETO,10104,514.0,214.0,3.0,0.2660460286411166,2022,-48417.00999999978
AMAZONAS,CHACHAPOYAS,CHETO,10104,514.0,215.0,3.0,0.2660460286411166,2022,-48417.00999999978
AMAZONAS,CHACHAPOYAS,CHILIQUIN,10105,587.0,266.0,5.0,0.1469347526118667,2022,-32934.93999999971
AMAZONAS,CHACHAPOYAS,CHILIQUIN,10105,587.0,267.0,5.0,0.1469347526118667,2022,-32934.93999999971
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,10106,971.0,281.0,5.0,0.1194098548211307,2022,-2842610.909999999
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,10106,971.0,300.0,5.0,0.1194098548211307,2022,-2842610.909999999
AMAZONAS,CHACHAPOYAS,GRANADA,10107,398.0,248.0,2.0,0.400395938593082,2022,185975.56000000008
AMAZONAS,CHACHAPOYAS,GRANADA,10107,398.0,249.0,2.0,0.400395938593082,2022,185975.56000000008
AMAZONAS,CHACHAPOYAS,HUANCAS,10108,517.0,221.0,4.0,0.1946397755221284,2022,221677.8600000001
AMAZONAS,CHACHAPOYAS,HUANCAS,10108,517.0,222.0,4.0,0.1946397755221284,2022,221677.8600000001
AMAZONAS,CHACHAPOYAS,LA JALCA,10109,2880.0,300.0,4.0,0.1787577923824897,2022,-223219.80000000028
AMAZONAS,CHACHAPOYAS,LA JALCA,10109,2880.0,294.0,4.0,0.1787577923824897,2022,-223219.80000000028
AMAZONAS,CHACHAPOYAS,LA JALCA,10109,2880.0,295.0,4.0,0.1787577923824897,2022,-223219.80000000028
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10110,1818.0,241.0,5.0,0.1309321010939268,2022,-3118461.050000001
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10110,1818.0,242.0,5.0,0.1309321010939268,2022,-3118461.050000001
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10110,1818.0,300.0,5.0,0.1309321010939268,2022,-3118461.050000001
AMAZONAS,CHACHAPOYAS,LEVANTO,10111,710.0,299.0,5.0,0.1581241174284652,2022,-25224.91000000015
AMAZONAS,CHACHAPOYAS,LEVANTO,10111,710.0,300.0,5.0,0.1581241174284652,2022,-25224.91000000015
AMAZONAS,CHACHAPOYAS,MAGDALENA,10112,564.0,253.0,5.0,0.1486166007905138,2022,-504612.8000000001
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,10113,565.0,278.0,3.0,0.2255485933833578,2022,18917.430000000168
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,10113,565.0,279.0,3.0,0.2255485933833578,2022,18917.430000000168
