Region,Provincia,Distrito,Ubigeo,Votosemitidos,Electores,N_Partidos,P_ausentismo,Año
AMAZONAS,CHACHAPOYAS,ASUNCION,10102,267.0,170.0,2.0,0.3926470588235294,2022
AMAZONAS,CHACHAPOYAS,BALSAS,10103,538.0,264.0,4.0,0.1270440251572327,2022
AMAZONAS,CHACHAPOYAS,BALSAS,10103,538.0,265.0,4.0,0.1270440251572327,2022
AMAZONAS,CHACHAPOYAS,CHETO,10104,514.0,214.0,3.0,0.26604602864111665,2022
AMAZONAS,CHACHAPOYAS,CHETO,10104,514.0,215.0,3.0,0.26604602864111665,2022
AMAZONAS,CHACHAPOYAS,CHILIQUIN,10105,587.0,266.0,5.0,0.14693475261186675,2022
AMAZONAS,CHACHAPOYAS,CHILIQUIN,10105,587.0,267.0,5.0,0.14693475261186675,2022
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,10106,971.0,281.0,5.0,0.11940985482113071,2022
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,10106,971.0,300.0,5.0,0.11940985482113071,2022
AMAZONAS,CHACHAPOYAS,GRANADA,10107,398.0,248.0,2.0,0.400395938593082,2022
AMAZONAS,CHACHAPOYAS,GRANADA,10107,398.0,249.0,2.0,0.400395938593082,2022
AMAZONAS,CHACHAPOYAS,HUANCAS,10108,517.0,221.0,4.0,0.19463977552212844,2022
AMAZONAS,CHACHAPOYAS,HUANCAS,10108,517.0,222.0,4.0,0.19463977552212844,2022
AMAZONAS,CHACHAPOYAS,LA JALCA,10109,2880.0,300.0,4.0,0.17875779238248973,2022
AMAZONAS,CHACHAPOYAS,LA JALCA,10109,2880.0,294.0,4.0,0.17875779238248973,2022
AMAZONAS,CHACHAPOYAS,LA JALCA,10109,2880.0,295.0,4.0,0.17875779238248973,2022
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10110,1818.0,241.0,5.0,0.13093210109392683,2022
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10110,1818.0,242.0,5.0,0.13093210109392683,2022
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10110,1818.0,300.0,5.0,0.13093210109392683,2022
AMAZONAS,CHACHAPOYAS,LEVANTO,10111,710.0,299.0,5.0,0.15812411742846524,2022
AMAZONAS,CHACHAPOYAS,LEVANTO,10111,710.0,300.0,5.0,0.15812411742846524,2022
AMAZONAS,CHACHAPOYAS,MAGDALENA,10112,564.0,253.0,5.0,0.14861660079051384,2022
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,10113,565.0,278.0,3.0,0.2255485933833578,2022
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,10113,565.0,279.0,3.0,0.2255485933833578,2022
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,10114,1343.0,291.0,3.0,0.22877312098868888,2022
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,10114,1343.0,292.0,3.0,0.22877312098868888,2022
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,10114,1343.0,211.0,3.0,0.22877312098868888,2022
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,10115,461.0,204.0,2.0,0.37601626016260165,2022
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,10115,461.0,205.0,2.0,0.37601626016260165,2022
AMAZONAS,CHACHAPOYAS,OLLEROS,10116,289.0,300.0,2.0,0.3756201550387597,2022
AMAZONAS,CHACHAPOYAS,OLLEROS,10116,289.0,86.0,2.0,0.3756201550387597,2022
AMAZONAS,CHACHAPOYAS,QUINJALCA,10117,658.0,234.0,4.0,0.17535006364793598,2022
AMAZONAS,CHACHAPOYAS,QUINJALCA,10117,658.0,235.0,4.0,0.17535006364793598,2022
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,10118,245.0,167.0,2.0,0.36676646706586824,2022
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,10119,464.0,285.0,2.0,0.40630904183535765,2022
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,10119,464.0,286.0,2.0,0.40630904183535765,2022
AMAZONAS,CHACHAPOYAS,SOLOCO,10120,951.0,274.0,5.0,0.1486142562777215,2022
AMAZONAS,CHACHAPOYAS,SOLOCO,10120,951.0,275.0,5.0,0.1486142562777215,2022
AMAZONAS,CHACHAPOYAS,SOLOCO,10120,951.0,228.0,5.0,0.1486142562777215,2022
AMAZONAS,CHACHAPOYAS,SONCHE,10121,257.0,166.0,3.0,0.2580321285140562,2022
AMAZONAS,BAGUA,LA PECA,10201,4223.0,300.0,5.0,0.11615140132740913,2022
AMAZONAS,BAGUA,LA PECA,10201,4223.0,277.0,5.0,0.11615140132740913,2022
AMAZONAS,BAGUA,LA PECA,10201,4223.0,278.0,5.0,0.11615140132740913,2022
AMAZONAS,BAGUA,LA PECA,10201,4223.0,293.0,5.0,0.11615140132740913,2022
AMAZONAS,BAGUA,LA PECA,10201,4223.0,294.0,5.0,0.11615140132740913,2022
AMAZONAS,BAGUA,ARAMANGO,10202,5404.0,300.0,6.0,0.10062353990087752,2022
AMAZONAS,BAGUA,ARAMANGO,10202,5404.0,262.0,6.0,0.10062353990087752,2022
AMAZONAS,BAGUA,ARAMANGO,10202,5404.0,263.0,6.0,0.10062353990087752,2022
AMAZONAS,BAGUA,COPALLIN,10203,2927.0,283.0,6.0,0.11384701539901698,2022
AMAZONAS,BAGUA,COPALLIN,10203,2927.0,284.0,6.0,0.11384701539901698,2022
AMAZONAS,BAGUA,COPALLIN,10203,2927.0,288.0,6.0,0.11384701539901698,2022
AMAZONAS,BAGUA,COPALLIN,10203,2927.0,289.0,6.0,0.11384701539901698,2022
AMAZONAS,BAGUA,EL PARCO,10204,1007.0,283.0,4.0,0.18231427170379594,2022
AMAZONAS,BAGUA,EL PARCO,10204,1007.0,266.0,4.0,0.18231427170379594,2022
AMAZONAS,BAGUA,EL PARCO,10204,1007.0,267.0,4.0,0.18231427170379594,2022
AMAZONAS,BAGUA,IMAZA,10206,11792.0,300.0,7.0,0.07238809328765779,2022
AMAZONAS,BAGUA,IMAZA,10206,11792.0,277.0,7.0,0.07238809328765779,2022
AMAZONAS,BAGUA,IMAZA,10206,11792.0,278.0,7.0,0.07238809328765779,2022
AMAZONAS,BONGARA,COROSHA,10302,542.0,232.0,4.0,0.19468390804597702,2022
AMAZONAS,BONGARA,CUISPES,10303,530.0,238.0,5.0,0.1484593837535014,2022
AMAZONAS,BONGARA,CHISQUILLA,10304,317.0,212.0,3.0,0.24921383647798742,2022
AMAZONAS,BONGARA,CHURUJA,10305,273.0,180.0,3.0,0.25277777777777777,2022
AMAZONAS,BONGARA,FLORIDA,10306,2898.0,292.0,6.0,0.10333314826935963,2022
AMAZONAS,BONGARA,FLORIDA,10306,2898.0,293.0,6.0,0.10333314826935963,2022
AMAZONAS,BONGARA,RECTA,10307,0.0,290.0,2.0,0.0,2022
AMAZONAS,BONGARA,SAN CARLOS,10308,390.0,251.0,3.0,0.2589641434262948,2022
AMAZONAS,BONGARA,SHIPASBAMBA,10309,1025.0,288.0,4.0,0.17769487697039602,2022
AMAZONAS,BONGARA,SHIPASBAMBA,10309,1025.0,289.0,4.0,0.17769487697039602,2022
AMAZONAS,BONGARA,VALERA,10310,743.0,243.0,4.0,0.19069815489442082,2022
AMAZONAS,BONGARA,VALERA,10310,743.0,244.0,4.0,0.19069815489442082,2022
AMAZONAS,BONGARA,YAMBRASBAMBA,10311,3312.0,266.0,4.0,0.1774664538473498,2022
AMAZONAS,BONGARA,YAMBRASBAMBA,10311,3312.0,267.0,4.0,0.1774664538473498,2022
AMAZONAS,BONGARA,YAMBRASBAMBA,10311,3312.0,300.0,4.0,0.1774664538473498,2022
AMAZONAS,BONGARA,YAMBRASBAMBA,10311,3312.0,249.0,4.0,0.1774664538473498,2022
AMAZONAS,BONGARA,YAMBRASBAMBA,10311,3312.0,250.0,4.0,0.1774664538473498,2022
AMAZONAS,BONGARA,YAMBRASBAMBA,10311,3312.0,278.0,4.0,0.1774664538473498,2022
AMAZONAS,BONGARA,JAZAN,10312,3760.0,298.0,6.0,0.10442196824240742,2022
AMAZONAS,BONGARA,JAZAN,10312,3760.0,299.0,6.0,0.10442196824240742,2022
AMAZONAS,LUYA,CAMPORREDONDO,10402,3298.0,286.0,5.0,0.14304713247813378,2022
AMAZONAS,LUYA,CAMPORREDONDO,10402,3298.0,287.0,5.0,0.14304713247813378,2022
AMAZONAS,LUYA,CAMPORREDONDO,10402,3298.0,285.0,5.0,0.14304713247813378,2022
AMAZONAS,LUYA,CAMPORREDONDO,10402,3298.0,300.0,5.0,0.14304713247813378,2022
AMAZONAS,LUYA,COCABAMBA,10403,920.0,300.0,4.0,0.15173171165484303,2022
AMAZONAS,LUYA,COCABAMBA,10403,920.0,283.0,4.0,0.15173171165484303,2022
AMAZONAS,LUYA,COCABAMBA,10403,920.0,284.0,4.0,0.15173171165484303,2022
AMAZONAS,LUYA,COLCAMAR,10404,1169.0,294.0,3.0,0.22040175768989329,2022
AMAZONAS,LUYA,COLCAMAR,10404,1169.0,295.0,3.0,0.22040175768989329,2022
AMAZONAS,LUYA,CONILA,10405,1158.0,259.0,3.0,0.24759017259017257,2022
AMAZONAS,LUYA,CONILA,10405,1158.0,260.0,3.0,0.24759017259017257,2022
AMAZONAS,LUYA,INGUILPATA,10406,394.0,260.0,5.0,0.15125257883878573,2022
AMAZONAS,LUYA,INGUILPATA,10406,394.0,261.0,5.0,0.15125257883878573,2022
AMAZONAS,LUYA,LONGUITA,10407,537.0,256.0,4.0,0.1748046875,2022
AMAZONAS,LUYA,LONYA CHICO,10408,586.0,277.0,4.0,0.17586400193924281,2022
AMAZONAS,LUYA,LONYA CHICO,10408,586.0,278.0,4.0,0.17586400193924281,2022
AMAZONAS,LUYA,LUYA,10409,2003.0,281.0,3.0,0.22206796845473806,2022
AMAZONAS,LUYA,LUYA,10409,2003.0,282.0,3.0,0.22206796845473806,2022
AMAZONAS,LUYA,LUYA,10409,2003.0,280.0,3.0,0.22206796845473806,2022
AMAZONAS,LUYA,LUYA VIEJO,10410,314.0,185.0,3.0,0.28211275791920953,2022
AMAZONAS,LUYA,LUYA VIEJO,10410,314.0,186.0,3.0,0.28211275791920953,2022
