Año,Ubigeo,Departamento,Provincia,Distrito,Utilidad
2022,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1895893.7400000058
2022,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,288968.8500000001
2022,010103,AMAZONAS,CHACHAPOYAS,BALSAS,73168.08000000031
2022,010104,AMAZONAS,CHACHAPOYAS,CHETO,-48417.00999999978
2022,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,-32934.93999999971
2022,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,-2842610.909999999
2022,010107,AMAZONAS,CHACHAPOYAS,GRANADA,185975.56000000006
2022,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,221677.8600000001
2022,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,-223219.80000000028
2022,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,-3118461.050000001
2022,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,-25224.91000000015
2022,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,-504612.80000000005
2022,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,18917.430000000168
2022,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,-920547.3999999985
2022,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,-516785.4199999999
2022,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,-79086.46999999986
2022,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,184883.27000000048
2022,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,493346.6900000002
2022,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,45382.43999999948
2022,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,339553.05000000005
2022,010121,AMAZONAS,CHACHAPOYAS,SONCHE,717235.9100000001
2022,010201,AMAZONAS,BAGUA,BAGUA,473424.04000000283
2022,010202,AMAZONAS,BAGUA,ARAMANGO,265680.6400000006
2022,010203,AMAZONAS,BAGUA,COPALLIN,887507.3099999991
2022,010204,AMAZONAS,BAGUA,EL PARCO,1323860.3999999994
2022,010205,AMAZONAS,BAGUA,IMAZA,-48332.45999999903
2022,010206,AMAZONAS,BAGUA,LA PECA,-107334.99000000022
2022,010301,AMAZONAS,BONGARA,JUMBILLA,-1187914.3600000003
2022,010302,AMAZONAS,BONGARA,CHISQUILLA,260861.01999999955
2022,010303,AMAZONAS,BONGARA,CHURUJA,29586.300000000047
2022,010304,AMAZONAS,BONGARA,COROSHA,421889.5200000005
2022,010305,AMAZONAS,BONGARA,CUISPES,3683.8900000001304
2022,010306,AMAZONAS,BONGARA,FLORIDA,1357094.4799999986
2022,010307,AMAZONAS,BONGARA,JAZAN,1113326.4399999995
2022,010308,AMAZONAS,BONGARA,RECTA,104339.37000000011
2022,010309,AMAZONAS,BONGARA,SAN CARLOS,-2276257.6799999997
2022,010310,AMAZONAS,BONGARA,SHIPASBAMBA,667866.6700000004
2022,010311,AMAZONAS,BONGARA,VALERA,98124.08000000019
2022,010312,AMAZONAS,BONGARA,YAMBRASBAMBA,989765.4899999993
2022,010401,AMAZONAS,CONDORCANQUI,NIEVA,897648.5800000057
2022,010402,AMAZONAS,CONDORCANQUI,EL CENEPA,1571675.7999999989
2022,010403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,2273631.5500000007
2022,010501,AMAZONAS,LUYA,LAMUD,-2504394.7200000025
2022,010502,AMAZONAS,LUYA,CAMPORREDONDO,1345876.9299999997
2022,010503,AMAZONAS,LUYA,COCABAMBA,120256.6399999999
2022,010504,AMAZONAS,LUYA,COLCAMAR,244625.1200000001
2022,010505,AMAZONAS,LUYA,CONILA,-9068.570000000065
2022,010506,AMAZONAS,LUYA,INGUILPATA,640707.27
2022,010507,AMAZONAS,LUYA,LONGUITA,88670.54000000004
2022,010508,AMAZONAS,LUYA,LONYA CHICO,73585.28000000026
2022,010509,AMAZONAS,LUYA,LUYA,134084.91999999993
2022,010510,AMAZONAS,LUYA,LUYA VIEJO,-298530.32999999984
2022,010511,AMAZONAS,LUYA,MARIA,-6088.450000001118
2022,010512,AMAZONAS,LUYA,OCALLI,375181.3799999999
2022,010513,AMAZONAS,LUYA,OCUMAL,996395.3900000006
2022,010514,AMAZONAS,LUYA,PISUQUIA,-31118.460000000894
2022,010515,AMAZONAS,LUYA,PROVIDENCIA,-62871.68000000017
2022,010516,AMAZONAS,LUYA,SAN CRISTOBAL,293126.33999999985
2022,010517,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,41330.17000000004
2022,010518,AMAZONAS,LUYA,SAN JERONIMO,-40133.090000000084
2022,010519,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,-121160.48999999953
2022,010520,AMAZONAS,LUYA,SANTA CATALINA,-1886621.9300000006
2022,010521,AMAZONAS,LUYA,SANTO TOMAS,19303.130000000354
2022,010522,AMAZONAS,LUYA,TINGO,541431.0800000001
